species,CR,EN,VU
Aiphanes acaulis,0,21,0
Aiphanes buenaventurae,0,6,0
Aiphanes duquei,0,10,0
Aiphanes gelatinosa,0,21,0
Aiphanes graminifolia,21,0,0
Aiphanes killipii,17,0,0
Aiphanes leiostachys,8,0,0
Aiphanes lindeniana,0,210,0
Aiphanes parvifolia,0,49,0
Aiphanes pilaris,7,0,0
Astrocaryum malybo,0,549,0
Astrocaryum triandrum,0,22,0
Attalea amygdalina,0,193,0
Attalea cohune,0,31,0
Attalea colenda,0,12,0
Attalea iguadummat,0,0,6
Attalea nucifera,0,0,56
Bactris charnleyae,0,0,5
Bactris rostrata,0,0,2
Calyptrogyne costatifrons,0,0,8
Ceroxylon alpinum,0,242,0
Ceroxylon ceriferum,0,91,0
Ceroxylon parvifrons,0,0,131
Ceroxylon quindiuense,0,6707,0
Ceroxylon sasaimae,0,171,0
Ceroxylon ventricosum,0,30,0
Ceroxylon vogelianum,0,0,1101
Chamaedorea pygmaea,0,0,14
Chamaedorea ricardoi,0,44,0
Chamaedorea subjectifolia,0,0,5
Coccothrinax argentata,0,81,0
Cryosophila kalbreyeri,0,0,99
Elaeis oleifera,0,2029,0
Geonoma bernalii,0,3,0
Geonoma chlamydostachys,0,0,35
Geonoma galeanoae,0,0,14
Geonoma santanderensis,0,0,24
Hyospathe frontinensis,0,0,47
Hyospathe wendlandiana,0,21,0
Oenocarpus circumtextus,0,0,16
Pholidostachys panamensis,0,0,3
Pholidostachys sanluisensis,0,0,7
Phytelephas tumacana,0,16,0
Reinhardtia gracilis,7,0,0
Reinhardtia koschnyana,28,0,0
Reinhardtia simplex,3,0,0
Roystonea oleracea,75,0,0
Sabinaria magnifica,0,0,3
Syagrus sancona,0,0,839
Wettinia hirsuta,0,0,111
Wettinia microcarpa,0,0,52
